OBJECTID,Shape_Leng,Shape_Area,District,County,Sub County,Parish,Village,Region,Pop_2020,HHs_2020
1,3939.716301,656740.0394,Mpigi,Mawokota,Mpigi Town Council,Ward B,Mawonve,Central,,
2,20753.15592,14166122.88,Nakasongola,Nakasongola,Kalongo,Mayirikiti,Mayirikiti,Central,,
3,13306.33435,6179398.025,Kyankwanzi,Kiboga,Bananywa,Lwengo,Kiryabisoli,Central,,
4,8834.064994,2659340.894,Mubende,Kassanda,Kitumbi,Kiguude,Kisalizi,Central,,
5,14775.63744,6257481.389,Mubende,Buwekula,Kitega,Bugonzi,Lukaya,Central,,
6,491.0843422,13351.81101,Kampala,Kampala Capital City,Nakawa,Luzira,Agatti,Central,,
7,6638.010401,2327662.799,Nakaseke,Nakaseke,Semuto,Kikandwa,Mabindi,Central,,
8,7561.109343,3112225.562,Mityana,Busujju,Maanyi,Kivuuvu,Buyuki,Central,,
9,1075.841503,73407.40011,Kampala,Kampala Capital City,Rubaga,Namirembe,Butikiro,Central,,
10,5300.645921,1017257.086,Wakiso,Entebbe Municipality,Division A,Katabi Ward,Katabi Kitubulu,Central,,
11,9678.20803,4366379.006,Rakai,Kyotera,Kabira,Kyanika,Kifuufu,Central,,
12,22851.32675,28729082.61,Kyankwanzi,Kiboga,Bananywa,Mujunza,Kikonda F/r,Central,,
13,7516.387166,2687625.318,Mityana,Mityana,Bulera,Bulera,Lwamba,Central,,
14,1282.223746,78544.03741,Buikwe,Lugazi Town Council,Central Division,Kabowa,Kulubya,Central,,
15,4955.017141,1058400.847,Rakai,Kooki,Kiziba,Mweruka,Kitayiza,Central,,
16,8459.428968,3093520.144,Wakiso,Busiro,Kakiri,Magoggo,Magoggo,Central,,
17,2325.520674,212499.6042,Kampala,Kampala Capital City,Rubaga,Natete,Kivumbi,Central,,
18,6428.96868,2393948.002,Mityana,Busujju,Butayunja,Kitongo,Kkande,Central,,
19,3370.758014,708505.872,Rakai,Kakuuto,Kyebe,Kanabulemu,Bugombe,Central,,
20,32284.57299,17349064.21,Buikwe,Buikwe,Najja,Busagazi,Lake Victoria,Central,,
21,5988.729601,1146421.183,Buikwe,Njeru Municipality,Nyenga Division,Namabu,Namaziba,Central,,
22,4384.358758,1145672.831,Mpigi,Mawokota,Kammengo,Butoolo,Kiryambidde,Central,,
23,11630.57147,5537806.11,Mpigi,Mawokota,Kiringente,Sekiwunga,Sekiwunga,Central,,
24,7826.177379,2429073.714,Bukomansimbi,Bukomansimbi,Bukomansimbi Town Council,Kigungumika,Kigungumika,Central,,
25,5112.664139,1741104.336,Mityana,Mityana,Namungo,Mugulu,Kito (mugulu),Central,,
26,6602.648361,2246556.397,Kiboga,Kiboga,Bukomero,Kyoomya,Kayunga,Central,,
